chain_symbol,expiration_date,strike_price,option_type,side,order_created_at,direction,order_quantity,order_type,opening_strategy,closing_strategy,price,processed_quantity
META,2023-08-11,297.5000,put,sell,2023-08-01T13:49:28.985911Z,credit,1.00000,limit,,long_put,1.44000000,1.00000
META,2023-08-11,297.5000,put,sell,2023-08-01T13:48:31.193514Z,credit,1.00000,limit,,long_put,1.42000000,1.00000
META,2023-08-11,297.5000,put,sell,2023-08-01T13:47:08.253025Z,debit,3.00000,limit,,short_put_spread,0.90000000,3.00000
META,2023-08-11,302.5000,put,buy,2023-08-01T13:47:08.253025Z,debit,3.00000,limit,,short_put_spread,0.90000000,3.00000
AMD,2023-08-11,100.0000,call,sell,2023-08-01T13:45:55.686735Z,credit,1.00000,limit,,long_call,15.60000000,1.00000
META,2023-08-11,297.5000,put,sell,2023-08-01T13:45:34.590000Z,credit,3.00000,limit,,long_put,1.35000000,3.00000
META,2023-08-11,297.5000,put,sell,2023-07-31T19:58:26.036070Z,credit,7.00000,limit,,long_put,1.19000000,7.00000
AMD,2023-08-11,100.0000,call,sell,2023-07-31T19:44:05.292455Z,credit,1.00000,limit,,long_call,14.75000000,1.00000
META,2023-08-11,302.5000,put,buy,2023-07-31T19:42:37.894145Z,debit,12.00000,limit,,short_put,1.87000000,12.00000
META,2023-08-04,307.5000,call,sell,2023-07-31T19:18:11.687575Z,credit,1.00000,limit,,long_call,12.75000000,1.00000
AMD,2023-08-11,100.0000,call,buy,2023-07-31T11:29:54.365436Z,debit,2.00000,limit,long_call,,15.00000000,2.00000
META,2023-08-04,307.5000,call,buy,2023-07-28T15:44:47.066630Z,debit,1.00000,limit,long_call,,18.85000000,1.00000
META,2023-08-11,302.5000,put,sell,2023-07-28T15:43:16.476211Z,credit,15.00000,limit,short_put_spread,,0.52000000,15.00000
META,2023-08-11,297.5000,put,buy,2023-07-28T15:43:16.476211Z,credit,15.00000,limit,short_put_spread,,0.52000000,15.00000
META,2023-07-28,282.5000,put,buy,2023-07-27T13:47:12.254772Z,debit,5.00000,limit,,short_put_spread,0.03000000,5.00000
META,2023-07-28,277.5000,put,sell,2023-07-27T13:47:12.254772Z,debit,5.00000,limit,,short_put_spread,0.03000000,5.00000
META,2023-08-04,285.0000,call,sell,2023-07-26T18:50:03.812781Z,credit,1.00000,limit,,long_call,23.20000000,1.00000
META,2023-08-04,285.0000,call,buy,2023-07-26T18:18:48.458478Z,debit,1.00000,limit,long_call,,22.10000000,1.00000
AMZN,2023-08-04,120.0000,call,sell,2023-07-26T18:12:06.841296Z,credit,1.00000,limit,,long_call,9.85000000,1.00000
META,2023-07-28,282.5000,put,sell,2023-07-26T18:06:14.298825Z,credit,5.00000,limit,short_put_spread,,1.55000000,5.00000
META,2023-07-28,277.5000,put,buy,2023-07-26T18:06:14.298825Z,credit,5.00000,limit,short_put_spread,,1.55000000,5.00000
AMZN,2023-08-04,120.0000,call,buy,2023-07-26T13:46:39.010391Z,debit,1.00000,limit,long_call,,9.95000000,1.00000
AMZN,2023-07-28,132.0000,call,sell,2023-07-26T13:43:51.880107Z,credit,3.00000,limit,,long_call,0.53000000,3.00000
AMZN,2023-07-28,132.0000,call,sell,2023-07-26T13:35:27.570296Z,credit,6.00000,limit,,long_call,0.41000000,6.00000
