tradeDate,tradeTime,tradeType,tradeSize,symbol,tradeCond,tradePrice,rawtradeId,tradeCnt,tradeAboveBelow,tradePivot,priceDist,pricePct,tradeStrong,tradeLeg,timestamp,tradeRecTimestamp,tradeDateTime,tradeDay,tradeBar,userId,accountId,tradeRAW,tradeRawId,tradeSize1,tradePrFilled,tradeDur,tradeStopMke,tradeLimitExit,optionStrategy,daySRs,wkSRs,moSRs,tradeSpec,tradeSig,tradeGapPct,tradeStatus,tradeAux1,tradeAux2,tradeHash
2024-02-06,1300,BUY,10,AMZN,atLimit,168.03,1863,6,below,S1,-0.44,-0.2638%,1,200|190|140|130,2024-02-07T054548,tstampRec_2024-02-06T17_45_14,2024-02-06T130000,tue,15min,Creator,12345354911,raw51,0,100,0,day,100.818,420.075,IronCondor1.15,nil_,nil_,nil_,nil,BUY,0
2024-02-06,1300,buyToOpen_CALL_,3,AMZN,atLimit,168.03,1863,165,STRIKE,S1,-0.44,-0.2638%,1,200|190|140|130,2024-02-07T054548,tstampRec_2024-02-06T17_45_14,2024-02-06T130000,tue,15min,Creator,12345354911,raw51,0,100,0,day,100.818,420.075,IronCondor1.15,nil_,nil_,nil_,nil,BUY,0
2024-02-06,1300,BUY,10,SNAP,atLimit,17.07,1864,4,above,S1,0.87,5.1152%,0,20|15|10|10,2024-02-07T054548,tstampRec_2024-02-06T17_45_14,2024-02-06T130000,tue,15min,Creator,12345354911,raw52,0,100,0,day,10.242,42.675,IronCondor1.15,nil_,nil_,nil_,nil,BUY,0
2024-02-06,1245,BUY,10,TSLA,atLimit,182.51,1858,4,above,S1,6.71,3.6783%,0,215|205|155|145,2024-02-07T054548,tstampRec_2024-02-06T17_30_11,2024-02-06T124500,tue,15min,Creator,12345354911,raw46,0,100,0,day,109.506,456.275,IronCondor1.15,nil_,nil_,nil_,nil,BUY,0
2024-02-06,1245,SELL,10,VXX,atLimit,14.37,1859,9,below,R1,-0.56,-3.9282%,0,15|15|10|10,2024-02-07T054548,tstampRec_2024-02-06T17_30_11,2024-02-06T124500,tue,15min,Creator,12345354911,raw47,0,100,0,day,8.622,35.925,IronCondor1.15,nil_,nil_,nil_,nil,SELL,0
2024-02-06,1215,SELL,10,SPY,atLimit,493,1854,4,below,R1,-1.42,-0.2880%,0,590|565|415|390,2024-02-07T054548,tstampRec_2024-02-06T17_00_08,2024-02-06T121500,tue,15min,Creator,12345354911,raw42,0,100,0,day,295.8,1232.5,IronCondor1.15,nil_,nil_,nil_,nil,SELL,0
2024-02-06,1215,SELL,10,QQQ,atLimit,427.14,1855,4,below,R1,-3.23,-0.7562%,0,510|490|360|340,2024-02-07T054548,tstampRec_2024-02-06T17_00_08,2024-02-06T121500,tue,15min,Creator,12345354911,raw43,0,100,0,day,256.284,1067.85,IronCondor1.15,nil_,nil_,nil_,nil,SELL,0
2024-02-06,1215,SELL,10,NFLX,atLimit,559.02,1856,4,below,R1,-13.7,-2.4501%,0,670|640|475|445,2024-02-07T054548,tstampRec_2024-02-06T17_00_08,2024-02-06T121500,tue,15min,Creator,12345354911,raw44,0,100,0,day,335.412,1397.55,IronCondor1.15,nil_,nil_,nil_,nil,SELL,0
2024-02-06,1215,SELL,10,ROKU,atLimit,92.57,1857,5,above,R1,2.64,2.8470%,1,110|105|75|70,2024-02-07T054548,tstampRec_2024-02-06T17_00_08,2024-02-06T121500,tue,15min,Creator,12345354911,raw45,0,100,0,day,55.542,231.425,IronCondor1.15,nil_,nil_,nil_,nil,SELL,0
2024-02-06,1215,buyToOpen_PUT_,1,ROKU,atLimit,92.57,1857,95,STRIKE,R1,2.64,2.8470%,1,110|105|75|70,2024-02-07T054548,tstampRec_2024-02-06T17_00_08,2024-02-06T121500,tue,15min,Creator,12345354911,raw45,0,100,0,day,55.542,231.425,IronCondor1.15,nil_,nil_,nil_,nil,SELL,0
