tradeDate,tradeTime,tradeType,tradeSize,symbol,tradeCond,tradePrice,rawtradeId,tradeCnt,tradeAboveBelow,tradePivot,priceDist,pricePct,tradeStrong,tradeLeg,timestamp,tradeRecTimestamp,tradeDateTime,tradeDay,tradeBar,userId,accountId,tradeRAW,tradeRawId,tradeSize1,tradePrFilled,tradeDur,tradeStopMke,tradeLimitExit,optionStrategy,daySRs,wkSRs,moSRs,tradeSpec,tradeSig,tradeGapPct,tradeStatus,tradeAux1,tradeAux2,tradeHash
2024-02-16,1115,BUY,10,SHOP,atLimit,81.83,2380,5,above,S1,0.77,0.9410%,0,95|90|65|65,2024-02-17T003134,2024-02-16T205546,2024-02-16T111500,fri,15min,Creator,12345354911,raw68,0,100,0,gfd,49.098,204.575,IronCondor1.15,R3R2R1_P_P3_S1S2S3=|88.50|87.00|85.51|82.55|82.91|81.06|78.10|76.61|,wkR2R1P_87.31_S1S2=|98.98|94.86|83.19|75.64|,moR3R2R1PS1S2S3=|-1.00|-1.00|-1.00|-1.00|-1.00|-1.00|-1.00|,nil,BUY,0,1,2,3,nilHash
2024-02-16,1101,BUY,10,INTC,atLimit,43.55,2328,11,below,S1,-0.08,-0.1837%,1,50|50|35|30,2024-02-17T003134,2024-02-16T204050,2024-02-16T110100,fri,13min,Creator,12345354911,raw16,0,100,0,gfd,26.13,108.875,IronCondor1.15,R3R2R1_P_P3_S1S2S3=|46.52|45.70|44.88|44.45|43.76|43.63|43.20|42.38|,wkR2R1P_43.25_S1S2=|43.86|43.58|42.97|42.64|,moR3R2R1PS1S2S3=|-1.00|-1.00|-1.00|-1.00|-1.00|-1.00|-1.00|,nil,BUY,0,1,2,3,nilHash
2024-02-16,1101,buyToOpen_CALL_,0,INTC,atLimit,43.55,2328,40,STRIKE,S1,-0.08,-0.1837%,1,50|50|35|30,2024-02-17T003134,2024-02-16T204050,2024-02-16T110100,fri,13min,Creator,12345354911,raw16,0,100,0,gfd,26.13,108.875,IronCondor1.15,R3R2R1_P_P3_S1S2S3=|46.52|45.70|44.88|44.45|43.76|43.63|43.20|42.38|,wkR2R1P_43.25_S1S2=|43.86|43.58|42.97|42.64|,moR3R2R1PS1S2S3=|-1.00|-1.00|-1.00|-1.00|-1.00|-1.00|-1.00|,nil,BUY,0,1,2,3,nilHash
2024-02-16,1100,BUY,10,SPY,atLimit,500.5,2318,4,above,S1,0.72,0.1432%,0,600|575|425|400,2024-02-17T003134,2024-02-16T204050,2024-02-16T110000,fri,15min,Creator,12345354911,raw6,0,100,0,gfd,300.3,1251.25,IronCondor1.15,R3R2R1_P_P3_S1S2S3=|505.60|504.39|503.18|500.99|497.50|499.78|497.59|496.38|,wkR2R1P_497.69_S1S2=|509.11|505.14|493.72|486.27|,moR3R2R1PS1S2S3=|-1.00|-1.00|-1.00|-1.00|-1.00|-1.00|-1.00|,nil,BUY,0,1,2,3,nilHash
2024-02-16,1100,BUY,10,ETSY,atLimit,76.37,2340,4,below,S1,-0.39,-0.5150%,1,90|85|60|60,2024-02-17T003134,2024-02-16T204050,2024-02-16T110000,fri,15min,Creator,12345354911,raw28,0,100,0,gfd,45.822,190.925,IronCondor1.15,R3R2R1_P_P3_S1S2S3=|79.72|79.07|78.41|77.42|76.28|76.76|75.77|75.11|,wkR2R1P_76.50_S1S2=|82.64|80.35|74.21|70.36|,moR3R2R1PS1S2S3=|-1.00|-1.00|-1.00|-1.00|-1.00|-1.00|-1.00|,nil,BUY,0,1,2,3,nilHash
2024-02-16,1100,BUY,10,META,atLimit,472.68,2356,7,below,S1,-1.99,-0.4203%,1,565|540|400|375,2024-02-17T003134,2024-02-16T204050,2024-02-16T110000,fri,15min,Creator,12345354911,raw44,0,100,0,gfd,283.608,1181.7,IronCondor1.15,R3R2R1_P_P3_S1S2S3=|505.02|498.04|491.07|481.64|467.91|474.67|465.24|458.27|,wkR2R1P_465.21_S1S2=|484.78|476.39|456.82|445.64|,moR3R2R1PS1S2S3=|-1.00|-1.00|-1.00|-1.00|-1.00|-1.00|-1.00|,nil,BUY,0,1,2,3,nilHash
2024-02-16,1100,BUY,10,AMZN,atLimit,168.26,2365,4,above,S1,0.36,0.2120%,0,200|190|140|130,2024-02-17T003134,2024-02-16T204050,2024-02-16T110000,fri,15min,Creator,12345354911,raw53,0,100,0,gfd,100.956,420.65,IronCondor1.15,R3R2R1_P_P3_S1S2S3=|174.75|173.12|171.48|169.54|170.57|167.90|165.96|164.32|,wkR2R1P_172.39_S1S2=|179.74|177.14|169.79|165.04|,moR3R2R1PS1S2S3=|-1.00|-1.00|-1.00|-1.00|-1.00|-1.00|-1.00|,nil,BUY,0,1,2,3,nilHash
2024-02-16,1045,BUY,10,AAL,atLimit,14.72,2369,6,below,S1,-0.05,-0.3622%,1,15|15|10|10,2024-02-17T003134,2024-02-16T204050,2024-02-16T104500,fri,15min,Creator,12345354911,raw57,0,100,0,gfd,8.832,36.8,IronCondor1.15,R3R2R1_P_P3_S1S2S3=|15.46|15.27|15.09|14.96|14.81|14.78|14.65|14.47|,wkR2R1P_14.73_S1S2=|15.80|15.34|14.27|13.66|,moR3R2R1PS1S2S3=|-1.00|-1.00|-1.00|-1.00|-1.00|-1.00|-1.00|,nil,BUY,0,1,2,3,nilHash
2024-02-16,1030,BUY,10,GS,atLimit,385.18,2322,4,above,S1,4.5,1.1674%,0,460|440|325|305,2024-02-17T003134,2024-02-16T204050,2024-02-16T103000,fri,15min,Creator,12345354911,raw10,0,100,0,gfd,231.108,962.95,IronCondor1.15,R3R2R1_P_P3_S1S2S3=|395.28|392.02|388.75|383.95|383.54|380.68|375.88|372.61|,wkR2R1P_384.39_S1S2=|391.50|387.79|380.68|377.28|,moR3R2R1PS1S2S3=|-1.00|-1.00|-1.00|-1.00|-1.00|-1.00|-1.00|,nil,BUY,0,1,2,3,nilHash
2024-02-16,1030,BUY,10,NVDA,atLimit,733.68,2378,5,above,S1,13.22,1.8019%,0,880|840|620|585,2024-02-17T003134,2024-02-16T205019,2024-02-16T103000,fri,30min,Creator,12345354911,raw66,0,100,0,gfd,440.208,1834.2,IronCondor1.15,R3R2R1_P_P3_S1S2S3=|755.50|745.86|736.21|730.11|726.03|720.46|714.36|704.71|,wkR2R1P_702.05_S1S2=|760.90|741.11|682.26|643.20|,moR3R2R1PS1S2S3=|662.86|646.91|630.96|618.98|603.03|591.05|575.10|,nil,BUY,0,1,2,3,nilHash
2024-02-16,1015,SELL,10,AAPL,atLimit,183.28,2333,6,below,R1,-1.9,-1.0348%,0,215|210|155|145,2024-02-17T003134,2024-02-16T204050,2024-02-16T101500,fri,15min,Creator,12345354911,raw21,0,100,0,gfd,109.968,458.2,IronCondor1.15,R3R2R1_P_P3_S1S2S3=|187.63|186.40|185.18|183.26|185.49|182.04|180.12|178.90|,wkR2R1P_188.57_S1S2=|193.78|191.31|186.10|183.36|,moR3R2R1PS1S2S3=|-1.00|-1.00|-1.00|-1.00|-1.00|-1.00|-1.00|,nil,SELL,0,1,2,3,nilHash
2024-02-16,1015,SELL,10,TSLA,atLimit,200.3,2360,7,below,R1,-4.33,-2.1624%,0,240|230|170|160,2024-02-17T003134,2024-02-16T204050,2024-02-16T101500,fri,15min,Creator,12345354911,raw48,0,100,0,gfd,120.18,500.75,IronCondor1.15,R3R2R1_P_P3_S1S2S3=|212.90|208.76|204.63|196.74|187.15|192.61|184.72|180.59|,wkR2R1P_187.57_S1S2=|206.68|200.12|181.01|168.46|,moR3R2R1PS1S2S3=|-1.00|-1.00|-1.00|-1.00|-1.00|-1.00|-1.00|,nil,SELL,0,1,2,3,nilHash
2024-02-16,1015,SELL,10,SMCI,atLimit,1018.12,2372,4,below,R1,-16.15,-1.5866%,0,1220|1170|865|810,2024-02-17T003134,2024-02-16T204050,2024-02-16T101500,fri,15min,Creator,12345354911,raw60,0,100,0,gfd,610.872,2545.3,IronCondor1.15,R3R2R1_P_P3_S1S2S3=|1094.99|1064.63|1034.27|975.99|805.87|945.63|887.35|856.99|,wkR2R1P_691.20_S1S2=|848.42|794.46|637.24|533.98|,moR3R2R1PS1S2S3=|-1.00|-1.00|-1.00|-1.00|-1.00|-1.00|-1.00|,nil,SELL,0,1,2,3,nilHash
2024-02-16,1000,BUY,10,AMD,atLimit,178.48,2313,4,above,S1,3.97,2.2262%,0,210|205|150|140,2024-02-17T003134,2024-02-16T204050,2024-02-16T100000,fri,15min,Creator,12345354911,raw1,0,100,0,gfd,107.088,446.2,IronCondor1.15,R3R2R1_P_P3_S1S2S3=|185.74|182.74|179.75|177.50|173.27|174.51|172.26|169.27|,wkR2R1P_172.66_S1S2=|187.17|179.82|165.31|158.15|,moR3R2R1PS1S2S3=|-1.00|-1.00|-1.00|-1.00|-1.00|-1.00|-1.00|,nil,BUY,0,1,2,3,nilHash
2024-02-16,1000,SELL,10,ETSY,atLimit,77.34,2339,5,below,R1,-1.07,-1.3820%,0,90|85|65|60,2024-02-17T003134,2024-02-16T204050,2024-02-16T100000,fri,15min,Creator,12345354911,raw27,0,100,0,gfd,46.404,193.35,IronCondor1.15,R3R2R1_P_P3_S1S2S3=|79.72|79.07|78.41|77.42|76.28|76.76|75.77|75.11|,wkR2R1P_76.50_S1S2=|82.64|80.35|74.21|70.36|,moR3R2R1PS1S2S3=|-1.00|-1.00|-1.00|-1.00|-1.00|-1.00|-1.00|,nil,SELL,0,1,2,3,nilHash
2024-02-16,1000,BUY,10,NVDA,atLimit,737.67,2348,5,above,S1,17.21,2.3326%,0,885|845|625|590,2024-02-17T003134,2024-02-16T204050,2024-02-16T100000,fri,15min,Creator,12345354911,raw36,0,100,0,gfd,442.602,1844.18,IronCondor1.15,R3R2R1_P_P3_S1S2S3=|755.50|745.86|736.21|730.11|726.03|720.46|714.36|704.71|,wkR2R1P_702.05_S1S2=|760.90|741.11|682.26|643.20|,moR3R2R1PS1S2S3=|-1.00|-1.00|-1.00|-1.00|-1.00|-1.00|-1.00|,nil,BUY,0,1,2,3,nilHash
2024-02-16,0810,SELL,10,@ES,atLimit,5055.83,2343,5,below,R1,-4.08,-0.0808%,0,6065|5810|4295|4040,2024-02-17T003134,2024-02-16T204050,2024-02-16T081000,fri,65min,Creator,12345354911,raw31,0,100,0,gfd,3033.5,12639.6,IronCondor1.15,R3R2R1_P_P3_S1S2S3=|5089.75|5074.83|5059.92|5036.83|5010.58|5021.92|4998.83|4983.92|,wkR2R1P_5009.42_S1S2=|5120.17|5081.08|4970.33|4898.67|,moR3R2R1PS1S2S3=|5212.50|5102.42|4992.33|4847.17|4737.08|4591.92|4481.83|,nil,SELL,0,1,2,3,nilHash
