2023-12-06,1500,intraday,buy,100,TSLA,atLimit,242.16,buysigcnt,7,
2023-12-07,1045,intraday,buy,100,TSLA,atLimit,238.65,buysigcnt,7,
2023-11-30,1245,11/30/2023,intraday,buy,100,TSLA,atLimit,240.10,buysigcnt,7,
2023-12-01,1115,12/01/2023,intraday,buy,100,TSLA,atLimit,234.18,buysigcnt,9,
2023-12-01,1330,12/01/2023,intraday,sell,100,TSLA,atLimit,239.34,sellsigcnt,9,
2023-12-04,1000,12/04/2023,intraday,sell,100,TSLA,atLimit,238.48,sellsigcnt,7,
2023-12-04,1345,12/04/2023,intraday,sell,100,TSLA,atLimit,237.64,sellsigcnt,8,
2023-12-05,1145,12/05/2023,intraday,sell,100,TSLA,atLimit,244.96,sellsigcnt,7,
2023-12-05,1445,12/05/2023,intraday,buy,100,TSLA,atLimit,238.82,buysigcnt,12,
2023-12-06,1500,12/06/2023,intraday,buy,100,TSLA,atLimit,242.16,buysigcnt,7,
2023-12-07,1045,12/07/2023,intraday,buy,100,TSLA,atLimit,238.65,buysigcnt,7,
2023-12-07,1230,12/07/2023,intraday,sell,100,TSLA,atLimit,242.45,sellsigcnt,7,
2023-12-07,1400,12/07/2023,intraday,buy,100,TSLA,atLimit,240.39,buysigcnt,6,
2023-12-08,1200,12/08/2023,intraday,sell,100,TSLA,atLimit,244.13,sellsigcnt,12,
2023-12-08,1515,12/08/2023,intraday,sell,100,TSLA,atLimit,244.08,sellsigcnt,8,
2023-12-12,1515,12/12/2023,intraday,sell,100,TSLA,atLimit,236.63,sellsigcnt,8,
2023-11-29,1300,11/29/2023,intraday,buy,100,AAPL,atLimit,189.85,buysigcnt,8,
2023-11-29,1530,11/29/2023,intraday,buy,100,AAPL,atLimit,189.25,buysigcnt,9,
2023-11-30,1230,11/30/2023,intraday,buy,100,AAPL,atLimit,188.41,buysigcnt,9,
2023-11-30,1545,11/30/2023,intraday,sell,100,AAPL,atLimit,189.00,sellsigcnt,7,
2023-12-01,1330,12/01/2023,intraday,sell,100,AAPL,atLimit,191.38,sellsigcnt,16,
2023-12-04,1200,12/04/2023,intraday,buy,100,AAPL,atLimit,187.86,buysigcnt,8,
2023-12-04,1530,12/04/2023,intraday,sell,100,AAPL,atLimit,188.94,sellsigcnt,14,
2023-12-05,1145,12/05/2023,intraday,sell,100,AAPL,atLimit,193.99,sellsigcnt,10,
2023-12-05,1445,12/05/2023,intraday,buy,100,AAPL,atLimit,193.02,buysigcnt,6,
2023-12-07,1000,12/07/2023,intraday,buy,100,AAPL,atLimit,192.41,buysigcnt,7,
2023-12-07,1130,12/07/2023,intraday,sell,100,AAPL,atLimit,194.75,sellsigcnt,6,
2023-12-07,1445,12/07/2023,intraday,buy,100,AAPL,atLimit,194.34,buysigcnt,6,
2023-12-08,1530,12/08/2023,intraday,sell,100,AAPL,atLimit,195.74,sellsigcnt,11,
2023-12-11,1215,12/11/2023,intraday,buy,100,AAPL,atLimit,191.75,buysigcnt,9,
2023-12-12,1000,12/12/2023,intraday,sell,100,AAPL,atLimit,193.02,sellsigcnt,17,
2023-12-12,1230,12/12/2023,intraday,sell,100,AAPL,atLimit,193.34,sellsigcnt,8,
2023-12-12,1600,12/12/2023,intraday,sell,100,AAPL,atLimit,194.34,sellsigcnt,13,
2023-11-29,1530,11/29/2023,intraday,buy,100,ROKU,atLimit,107.17,buysigcnt,6,
2023-11-30,1230,11/30/2023,intraday,buy,100,ROKU,atLimit,102.80,buysigcnt,12,
2023-11-30,1500,11/30/2023,intraday,buy,100,ROKU,atLimit,103.20,buysigcnt,6,
2023-12-01,1115,12/01/2023,intraday,sell,100,ROKU,atLimit,105.05,sellsigcnt,7,
2023-12-04,1530,12/04/2023,intraday,buy,100,ROKU,atLimit,104.53,buysigcnt,11,
2023-12-05,1330,12/05/2023,intraday,buy,100,ROKU,atLimit,103.26,buysigcnt,8,
2023-12-06,1000,12/06/2023,intraday,sell,100,ROKU,atLimit,105.24,sellsigcnt,12,
2023-12-06,1430,12/06/2023,intraday,buy,100,ROKU,atLimit,103.36,buysigcnt,6,
2023-12-07,1030,12/07/2023,intraday,buy,100,ROKU,atLimit,102.38,buysigcnt,6,
2023-12-07,1245,12/07/2023,intraday,buy,100,ROKU,atLimit,101.99,buysigcnt,6,
2023-12-08,1000,12/08/2023,intraday,buy,100,ROKU,atLimit,101.31,buysigcnt,10,
2023-12-08,1330,12/08/2023,intraday,sell,100,ROKU,atLimit,103.76,sellsigcnt,9,
2023-12-11,1115,12/11/2023,intraday,buy,100,ROKU,atLimit,102.35,buysigcnt,8,
2023-12-12,1330,12/12/2023,intraday,buy,100,ROKU,atLimit,100.32,buysigcnt,7,
2023-11-30,1300,11/30/2023,intraday,buy,100,NVDA,atLimit,466.79,buysigcnt,15,
2023-12-01,1245,12/01/2023,intraday,sell,100,NVDA,atLimit,469.59,sellsigcnt,6,
2023-12-01,1515,12/01/2023,intraday,buy,100,NVDA,atLimit,467.87,buysigcnt,6,
2023-12-04,1145,12/04/2023,intraday,buy,100,NVDA,atLimit,451.66,buysigcnt,9,
2023-12-04,1330,12/04/2023,intraday,sell,100,NVDA,atLimit,456.24,sellsigcnt,7,
2023-12-04,1500,12/04/2023,intraday,buy,100,NVDA,atLimit,452.68,buysigcnt,6,
2023-12-05,1130,12/05/2023,intraday,sell,100,NVDA,atLimit,463.39,sellsigcnt,8,
2023-12-05,1500,12/05/2023,intraday,sell,100,NVDA,atLimit,462.95,sellsigcnt,10,
2023-12-06,1230,12/06/2023,intraday,buy,100,NVDA,atLimit,463.60,buysigcnt,7,
2023-12-07,1000,12/07/2023,intraday,buy,100,NVDA,atLimit,456.38,buysigcnt,14,
2023-12-07,1130,12/07/2023,intraday,sell,100,NVDA,atLimit,462.56,sellsigcnt,6,
2023-12-07,1345,12/07/2023,intraday,sell,100,NVDA,atLimit,463.78,sellsigcnt,7,
2023-12-08,1145,12/08/2023,intraday,sell,100,NVDA,atLimit,475.79,sellsigcnt,11,
2023-12-11,1230,12/11/2023,intraday,buy,100,NVDA,atLimit,459.49,buysigcnt,14,
2023-12-11,1500,12/11/2023,intraday,sell,100,NVDA,atLimit,468.05,sellsigcnt,10,
2023-12-12,1000,12/12/2023,intraday,buy,100,NVDA,atLimit,465.79,buysigcnt,6,
2023-12-06,1155,12/06/2023,intraday,buy,100,NVDA,atLimit,462.91,buysigcnt,10,
2023-12-06,1320,12/06/2023,intraday,buy,100,NVDA,atLimit,460.82,buysigcnt,9,
2023-12-06,1540,12/06/2023,intraday,buy,100,NVDA,atLimit,456.42,buysigcnt,8,
2023-12-07,1105,12/07/2023,intraday,sell,100,NVDA,atLimit,463.51,sellsigcnt,10,
2023-12-07,1135,12/07/2023,intraday,buy,100,NVDA,atLimit,461.23,buysigcnt,6,
2023-12-07,1430,12/07/2023,intraday,sell,100,NVDA,atLimit,464.74,sellsigcnt,8,
2023-12-07,1500,12/07/2023,intraday,buy,100,NVDA,atLimit,464.03,buysigcnt,6,
2023-12-08,1000,12/08/2023,intraday,sell,100,NVDA,atLimit,470.72,sellsigcnt,9,
2023-12-08,1040,12/08/2023,intraday,sell,100,NVDA,atLimit,475.52,sellsigcnt,6,
2023-12-08,1330,12/08/2023,intraday,sell,100,NVDA,atLimit,475.77,sellsigcnt,8,
2023-12-11,1055,12/11/2023,intraday,buy,100,NVDA,atLimit,462.81,buysigcnt,6,
2023-12-11,1135,12/11/2023,intraday,buy,100,NVDA,atLimit,459.91,buysigcnt,6,
2023-12-11,1250,12/11/2023,intraday,sell,100,NVDA,atLimit,462.73,sellsigcnt,11,
2023-12-11,1350,12/11/2023,intraday,sell,100,NVDA,atLimit,465.92,sellsigcnt,8,
2023-12-11,1425,12/11/2023,intraday,sell,100,NVDA,atLimit,468.88,sellsigcnt,6,
2023-12-12,935,12/12/2023,intraday,buy,100,NVDA,atLimit,465.35,buysigcnt,7,
2023-12-12,1015,12/12/2023,intraday,sell,100,NVDA,atLimit,472.77,sellsigcnt,6,
2023-12-12,1100,12/12/2023,intraday,buy,100,NVDA,atLimit,469.00,buysigcnt,9,
2023-12-12,1130,12/12/2023,intraday,sell,100,NVDA,atLimit,472.17,sellsigcnt,6,
2023-12-12,1305,12/12/2023,intraday,buy,100,NVDA,atLimit,468.97,buysigcnt,6,
2023-12-12,1420,12/12/2023,intraday,sell,100,NVDA,atLimit,471.53,sellsigcnt,7,
2023-12-12,1520,12/12/2023,intraday,sell,100,NVDA,atLimit,474.33,sellsigcnt,10,
2023-12-11,1001,12/11/2023,intraday,buy,100,NVDA,atLimit,468.31,buysigcnt,8,
2023-12-11,1023,12/11/2023,intraday,buy,100,NVDA,atLimit,464.09,buysigcnt,7,
2023-12-11,1056,12/11/2023,intraday,sell,100,NVDA,atLimit,465.25,sellsigcnt,11,
2023-12-11,1103,12/11/2023,intraday,buy,100,NVDA,atLimit,463.21,buysigcnt,7,
2023-12-11,1118,12/11/2023,intraday,buy,100,NVDA,atLimit,460.05,buysigcnt,7,
2023-12-11,1130,12/11/2023,intraday,sell,100,NVDA,atLimit,460.61,sellsigcnt,7,
2023-12-11,1140,12/11/2023,intraday,buy,100,NVDA,atLimit,458.91,buysigcnt,10,
2023-12-11,1148,12/11/2023,intraday,buy,100,NVDA,atLimit,458.67,buysigcnt,6,
2023-12-11,1158,12/11/2023,intraday,sell,100,NVDA,atLimit,460.25,sellsigcnt,10,
2023-12-11,1210,12/11/2023,intraday,sell,100,NVDA,atLimit,460.98,sellsigcnt,7,
